personName,finalWorth,category,age,country,organization
Bernard Arnault & family,211000,Fashion & Retail,74,France,LVMH Moët Hennessy Louis Vuitton
Elon Musk,180000,Automotive,51,United States,Tesla
Jeff Bezos,114000,Technology,59,United States,Amazon
Larry Ellison,107000,Technology,78,United States,Oracle
Warren Buffett,106000,Finance & Investments,92,United States,Berkshire Hathaway Inc. (Cl A)
Bill Gates,104000,Technology,67,United States,Bill & Melinda Gates Foundation
Michael Bloomberg,94500,Media & Entertainment,81,United States,Bloomberg
Carlos Slim Helu & family,93000,Telecom,83,Mexico,América Móvil
Mukesh Ambani,83400,Diversified,65,India,Reliance Industries
Steve Ballmer,80700,Technology,67,United States,Los Angeles Clippers
Francoise Bettencourt Meyers & family,80500,Fashion & Retail,69,France,
Larry Page,79200,Technology,50,United States,Alphabet
Amancio Ortega,77300,Fashion & Retail,87,Spain,
Sergey Brin,76000,Technology,49,United States,Alphabet
Zhong Shanshan,68000,Food & Beverage,68,China,
Mark Zuckerberg,64400,Technology,38,United States,Meta Platforms
Charles Koch & family,59000,Diversified,87,United States,"Koch Industries, Inc."
Julia Koch & family,59000,Diversified,60,United States,
Jim Walton,58800,Fashion & Retail,74,United States,"Arvest Bank Group, Inc."
Rob Walton & family,57600,Fashion & Retail,78,United States,Walmart
Alice Walton,56700,Fashion & Retail,73,United States,Crystal Bridges Museum of American Art
David Thomson & family,54400,Media & Entertainment,65,Canada,Thomson Reuters Corporation
Michael Dell,50100,Technology,58,United States,Dell Inc.
Gautam Adani,47200,Diversified,60,India,
Phil Knight & family,45100,Fashion & Retail,85,United States,Nike
Zhang Yiming,45000,Technology,39,China,ByteDance
Dieter Schwarz,42900,Fashion & Retail,83,Germany,
François Pinault & family,40100,Fashion & Retail,86,France,
Klaus-Michael Kuehne,39100,Logistics,85,Switzerland,
Giovanni Ferrero,38900,Food & Beverage,58,Belgium,
Jacqueline Mars,38300,Food & Beverage,83,United States,
John Mars,38300,Food & Beverage,87,United States,
